# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Thu Dec  5 04:05:10 2024
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
2008,9,2008.708,1787.65,0.99,1789.03,0.50
2008,10,2008.792,1793.67,0.74,1789.62,0.48
2008,11,2008.875,1797.32,1.08,1790.20,0.46
2008,12,2008.958,1796.59,0.98,1790.77,0.45
2009,1,2009.042,1795.06,0.76,1791.33,0.46
2009,2,2009.125,1795.60,1.06,1791.84,0.49
2009,3,2009.208,1795.98,1.05,1792.32,0.52
2009,4,2009.292,1795.55,0.88,1792.77,0.55
2009,5,2009.375,1792.35,0.75,1793.20,0.59
2009,6,2009.458,1786.91,0.89,1793.58,0.63
2009,7,2009.542,1784.96,1.09,1793.94,0.66
2009,8,2009.625,1788.84,0.97,1794.29,0.67
2009,9,2009.708,1794.81,1.31,1794.61,0.68
2009,10,2009.792,1798.03,1.59,1794.93,0.67
2009,11,2009.875,1797.91,0.96,1795.25,0.65
2009,12,2009.958,1796.68,0.84,1795.58,0.63
2010,1,2010.042,1797.10,1.17,1795.93,0.60
2010,2,2010.125,1798.78,1.37,1796.28,0.57
2010,3,2010.208,1799.46,1.23,1796.65,0.55
2010,4,2010.292,1799.58,0.99,1797.05,0.55
2010,5,2010.375,1797.63,1.30,1797.47,0.56
2010,6,2010.458,1792.47,1.40,1797.91,0.58
2010,7,2010.542,1789.43,1.04,1798.36,0.61
2010,8,2010.625,1794.10,1.01,1798.82,0.63
2010,9,2010.708,1801.86,1.01,1799.28,0.66
2010,10,2010.792,1806.60,1.10,1799.74,0.67
2010,11,2010.875,1807.01,1.15,1800.20,0.68
2010,12,2010.958,1803.28,0.96,1800.65,0.67
2011,1,2011.042,1800.04,0.93,1801.09,0.65
2011,2,2011.125,1800.02,0.84,1801.51,0.63
2011,3,2011.208,1800.98,0.67,1801.93,0.61
2011,4,2011.292,1802.89,0.87,1802.34,0.59
2011,5,2011.375,1803.32,1.01,1802.76,0.58
2011,6,2011.458,1799.16,0.76,1803.17,0.58
2011,7,2011.542,1796.20,0.95,1803.58,0.58
2011,8,2011.625,1799.05,1.03,1804.00,0.60
2011,9,2011.708,1804.06,1.57,1804.41,0.62
2011,10,2011.792,1809.59,1.60,1804.82,0.64
2011,11,2011.875,1812.41,1.25,1805.24,0.65
2011,12,2011.958,1810.04,1.14,1805.67,0.67
2012,1,2012.042,1807.38,0.89,1806.11,0.67
2012,2,2012.125,1808.36,1.18,1806.54,0.68
2012,3,2012.208,1810.07,0.87,1806.97,0.67
2012,4,2012.292,1808.49,0.62,1807.41,0.66
2012,5,2012.375,1804.77,1.38,1807.86,0.65
2012,6,2012.458,1801.01,1.31,1808.30,0.64
2012,7,2012.542,1799.38,1.13,1808.73,0.62
2012,8,2012.625,1803.31,1.13,1809.16,0.60
2012,9,2012.708,1810.15,1.28,1809.57,0.59
2012,10,2012.792,1814.84,0.98,1809.97,0.57
2012,11,2012.875,1815.96,1.17,1810.34,0.56
2012,12,2012.958,1814.59,0.87,1810.70,0.56
2013,1,2013.042,1814.04,0.90,1811.05,0.56
2013,2,2013.125,1814.14,1.42,1811.37,0.56
2013,3,2013.208,1813.26,1.15,1811.69,0.57
2013,4,2013.292,1812.82,0.75,1812.02,0.57
2013,5,2013.375,1811.94,0.85,1812.36,0.58
2013,6,2013.458,1808.61,1.17,1812.72,0.58
2013,7,2013.542,1805.99,1.51,1813.13,0.58
2013,8,2013.625,1808.54,1.13,1813.59,0.58
2013,9,2013.708,1814.25,0.89,1814.10,0.57
2013,10,2013.792,1818.51,0.63,1814.69,0.57
2013,11,2013.875,1820.35,0.70,1815.35,0.57
2013,12,2013.958,1819.34,0.87,1816.10,0.57
2014,1,2014.042,1816.80,0.97,1816.94,0.57
2014,2,2014.125,1816.32,1.03,1817.82,0.58
2014,3,2014.208,1818.09,1.05,1818.76,0.58
2014,4,2014.292,1820.87,0.82,1819.80,0.58
2014,5,2014.375,1821.88,0.94,1820.89,0.58
2014,6,2014.458,1818.30,0.91,1822.02,0.59
2014,7,2014.542,1815.52,1.15,1823.17,0.58
2014,8,2014.625,1819.70,1.23,1824.34,0.57
2014,9,2014.708,1826.81,1.07,1825.48,0.56
2014,10,2014.792,1831.18,0.62,1826.60,0.55
2014,11,2014.875,1833.03,0.59,1827.69,0.54
2014,12,2014.958,1833.50,0.85,1828.74,0.52
2015,1,2015.042,1833.06,0.93,1829.77,0.50
2015,2,2015.125,1832.99,0.82,1830.71,0.49
2015,3,2015.208,1833.20,0.67,1831.61,0.47
2015,4,2015.292,1833.15,1.10,1832.51,0.46
2015,5,2015.375,1831.67,1.06,1833.37,0.45
2015,6,2015.458,1827.24,0.85,1834.21,0.45
2015,7,2015.542,1824.70,0.99,1835.03,0.46
2015,8,2015.625,1829.17,1.05,1835.84,0.47
2015,9,2015.708,1836.24,1.05,1836.63,0.49
2015,10,2015.792,1841.42,0.99,1837.41,0.52
2015,11,2015.875,1844.69,1.17,1838.17,0.54
2015,12,2015.958,1844.88,1.12,1838.92,0.57
2016,1,2016.042,1842.44,0.96,1839.66,0.60
2016,2,2016.125,1841.64,1.23,1840.36,0.62
2016,3,2016.208,1843.01,0.93,1841.04,0.64
2016,4,2016.292,1843.74,0.71,1841.70,0.66
2016,5,2016.375,1842.13,0.97,1842.33,0.66
2016,6,2016.458,1837.83,1.25,1842.94,0.67
2016,7,2016.542,1834.16,1.17,1843.52,0.67
2016,8,2016.625,1836.70,1.21,1844.07,0.66
2016,9,2016.708,1844.18,1.36,1844.60,0.65
2016,10,2016.792,1849.87,1.20,1845.11,0.64
2016,11,2016.875,1851.45,1.24,1845.60,0.63
2016,12,2016.958,1851.05,0.96,1846.08,0.62
2017,1,2017.042,1849.68,0.85,1846.57,0.60
2017,2,2017.125,1848.40,1.06,1847.03,0.59
2017,3,2017.208,1848.18,1.22,1847.51,0.58
2017,4,2017.292,1848.53,1.31,1848.01,0.57
2017,5,2017.375,1847.14,0.82,1848.54,0.57
2017,6,2017.458,1842.93,0.92,1849.08,0.57
2017,7,2017.542,1840.40,1.48,1849.65,0.58
2017,8,2017.625,1844.64,1.28,1850.25,0.59
2017,9,2017.708,1852.72,1.01,1850.87,0.61
2017,10,2017.792,1857.98,1.02,1851.51,0.63
2017,11,2017.875,1858.52,0.88,1852.17,0.65
2017,12,2017.958,1856.51,0.93,1852.86,0.67
2018,1,2018.042,1854.43,0.94,1853.57,0.70
2018,2,2018.125,1854.98,0.78,1854.26,0.72
2018,3,2018.208,1856.87,0.77,1854.97,0.74
2018,4,2018.292,1856.69,0.93,1855.71,0.75
2018,5,2018.375,1854.82,1.48,1856.45,0.76
2018,6,2018.458,1852.01,1.53,1857.20,0.77
2018,7,2018.542,1849.09,1.70,1857.95,0.77
2018,8,2018.625,1851.93,1.84,1858.70,0.76
2018,9,2018.708,1860.47,0.92,1859.44,0.76
2018,10,2018.792,1865.75,1.02,1860.17,0.74
2018,11,2018.875,1866.27,1.04,1860.89,0.73
2018,12,2018.958,1866.03,0.97,1861.61,0.71
2019,1,2019.042,1864.98,1.05,1862.33,0.68
2019,2,2019.125,1865.03,0.92,1863.01,0.65
2019,3,2019.208,1866.33,0.92,1863.70,0.63
2019,4,2019.292,1865.32,0.57,1864.41,0.61
2019,5,2019.375,1861.98,1.17,1865.14,0.58
2019,6,2019.458,1858.78,1.37,1865.88,0.56
2019,7,2019.542,1858.23,1.43,1866.65,0.54
2019,8,2019.625,1862.91,1.43,1867.47,0.53
2019,9,2019.708,1870.77,1.14,1868.30,0.52
2019,10,2019.792,1875.41,1.17,1869.18,0.52
2019,11,2019.875,1875.62,0.95,1870.10,0.53
2019,12,2019.958,1874.62,0.75,1871.06,0.55
2020,1,2020.042,1872.89,1.06,1872.09,0.57
2020,2,2020.125,1872.29,0.98,1873.12,0.59
2020,3,2020.208,1874.39,0.74,1874.20,0.60
2020,4,2020.292,1875.79,1.53,1875.34,0.62
2020,5,2020.375,1874.41,1.32,1876.51,0.62
2020,6,2020.458,1871.97,1.08,1877.73,0.62
2020,7,2020.542,1871.47,1.16,1878.97,0.62
2020,8,2020.625,1876.39,1.14,1880.27,0.61
